Date,Year,Experiment,DataUse,Replication,Month,Vegetation,VegType,N2O,N_rate,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3,Clay,Sand,SOM,Outlier
2/9/12,0.020682235485946745,BCSE_KBS,Building,R1,February,Corn,Annual,-0.12540830872050332,0.48123292138736623,-0.5187736347042133,-0.8114159719071435,-1.5186171938423532,0.5568554112198294,0.29467560267618786,0.7976374948340172,-0.031188352553110633,-0.08301690529935479,-0.9041824821699671,0.7967675133141048,-0.6422421514891823,1
2/10/12,0.020682235485946745,BCSE_KBS,Building,R1,February,Corn,Annual,-0.18532436582009137,0.48123292138736623,-0.5187736347042133,-0.8114159719071435,-1.5607755369844718,0.5637575234882533,0.3016746974785981,0.6451279453185693,-0.03413397367497783,-0.0822592665261627,-0.9041824821699671,0.7967675133141048,-0.6422421514891823,1
2/18/12,0.020682235485946745,BCSE_KBS,Building,R1,February,Corn,Annual,-0.13784241939717295,0.48123292138736623,-0.19080319511195937,-0.44713773990161654,-1.2762067207751706,0.6189744216356438,0.3576674558978803,1.1602228674272,-0.04771880589931459,-0.07166742318464332,-0.9041824821699671,0.7967675133141048,-0.6422421514891823,1
2/19/12,0.020682235485946745,BCSE_KBS,Building,R1,February,Corn,Annual,-0.14485475426768965,0.48123292138736623,-0.5187736347042133,-0.46864027442972056,-1.7083297379818871,0.6258765339040676,0.3646665507002906,0.9175473863230504,-0.04632326851423105,-0.0696467570545001,-0.9041824821699671,0.7967675133141048,-0.6422421514891823,1
3/16/12,0.020682235485946745,BCSE_KBS,Building,R1,March,Corn,Annual,-0.1587264077138815,0.48123292138736623,-0.4174009533756985,-0.4576781980036283,0.5471416201214626,0.8053314528830867,0.5466430155629577,1.090364114661774,-0.09599401932942613,-0.03190301500155674,-0.9041824821699671,0.7967675133141048,-0.6422421514891823,1
3/17/12,0.020682235485946745,BCSE_KBS,Building,R1,March,Corn,Annual,-0.18686100361418947,0.48123292138736623,-0.4174009533756985,-0.4576781980036283,0.7052354069044077,0.8122335651515106,0.553642110365368,1.0344958196313132,-0.10380496289248554,-0.024293561823869613,-0.9041824821699671,0.7967675133141048,-0.6422421514891823,1
3/30/12,0.020682235485946745,BCSE_KBS,Building,R1,March,Corn,Annual,-0.20591686639109302,0.48123292138736623,-0.5187736347042133,0.6983992466250233,-1.075954590850107,0.9019610246410201,0.6446303427967016,1.0810290071476771,-0.14780878313435133,0.013522205571255094,-0.9041824821699671,0.7967675133141048,-0.6422421514891823,1
3/31/12,0.020682235485946745,BCSE_KBS,Building,R1,March,Corn,Annual,-0.26222290754066874,0.48123292138736623,0.11232099905663903,-0.5116453434859287,-0.9600191472092804,0.9088631369094439,0.6516294375991118,1.0618592273380254,-0.14644604930971847,0.01586985222063957,-0.9041824821699671,0.7967675133141048,-0.6422421514891823,1
4/17/12,0.020682235485946745,BCSE_KBS,Building,R1,April,Corn,Annual,-0.21736561661481715,0.48123292138736623,4.454450849294693,1.330405114421649,-0.591133644715742,1.0261990454726488,0.7706140492400865,1.1486210818744647,-0.17108776050479668,0.04092518365657231,-0.9041824821699671,0.7967675133141048,-0.6422421514891823,1
4/20/12,0.020682235485946745,BCSE_KBS,Building,R1,April,Corn,Annual,-0.19405945367835217,0.48123292138736623,-0.29118202662352793,1.4164152525340656,-0.18008979908008496,1.0469053822779204,0.7916113336473173,1.102018759632746,-0.1622294131172102,0.03937635618902622,-0.9041824821699671,0.7967675133141048,-0.6422421514891823,1
