test_size,method,best_params,cv_score,mse,rmse,mae,r2
0.2,GridSearchCV,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.02225813050675417,0.014967326930662073,0.12234102717674915,0.07504886418802774,0.6620592480433175
0.25,GridSearchCV,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.022975524909543618,0.01567218967936603,0.1251886164128593,0.08071236864091076,0.6293134864873609
0.3,GridSearchCV,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.023777514134323205,0.015104817114209853,0.12290165627122301,0.07911451553559468,0.6268447265288295
0.35,GridSearchCV,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.02650662830772987,0.013815075114859677,0.11753754768098439,0.07550913637200818,0.6256228470965053
0.2,RandomizedSearchCV,"{'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.3}",0.02152082534345308,0.014395355849065265,0.11998064781065847,0.07225299759246058,0.6749735338277967
0.25,RandomizedSearchCV,"{'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.3}",0.02216512953730215,0.015232927328958961,0.12342174577018007,0.07888200062123189,0.6397031405510902
0.3,RandomizedSearchCV,"{'n_estimators': 400, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.3}",0.02281807091655515,0.014980203368247277,0.12239364104497945,0.07752978558978955,0.6299232329484264
0.35,RandomizedSearchCV,"{'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.3}",0.025493547245008328,0.013760683592882482,0.11730594014321048,0.07560481750031398,0.6270968125270666
0.2,KFoldXGBoost,,0.1892163915429206,0.036107264825896074,0.19001911700114826,0.11345130916687869,0.18474980316190392
0.2,StandardCrossVal,,0.025925007083388654,0.0142782345157663,0.11949156671399995,0.07384857083212178,0.6776179653704884
0.25,KFoldXGBoost,,0.1916806976749955,0.03460647714347684,0.18602816223216537,0.11387593039636436,0.1814701953129252
0.25,StandardCrossVal,,0.026623303035450574,0.016526099209191087,0.12855387667896712,0.0828693856500823,0.6091163887657314
0.3,KFoldXGBoost,,0.19814694630977828,0.03299640785961743,0.18164913393577584,0.11377018969498322,0.18484391400948696
0.3,StandardCrossVal,,0.02693732099226249,0.015488542832573234,0.12445297438218676,0.07911286892429974,0.6173650172221141
0.35,KFoldXGBoost,,0.1985322143517485,0.02973194656831726,0.17242954088066598,0.11020384591266558,0.1942887451583355
0.35,StandardCrossVal,,0.02887748224803022,0.015218195827486819,0.12336205181289268,0.07885952654817129,0.58759943186308
