Date,Year,Experiment,DataUse,Replication,Month,Vegetation,VegType,N2O,N_rate,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3,Clay,Sand,SOM,IF_Outlier,DBSCAN_Outlier,OCSVM_Outlier,Hard_Voting_Outlier,Soft_Vote_Outlier,Soft_Voting_Outlier
424,0.0206822354859619,1,0,0,3,0,0,-0.1254083087205032,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,-1.5186171938423534,0.5568554112198295,0.2946756026761878,0.7976374948340172,-0.0311883525531106,-0.0830169052993547,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
360,0.0206822354859619,1,0,0,3,0,0,-0.1853243658200913,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,-1.560775536984472,0.5637575234882534,0.301674697478598,0.6451279453185691,-0.0341339736749778,-0.0822592665261626,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
379,0.0206822354859619,1,0,0,3,0,0,-0.1378424193971729,0.4812329213873661,-0.1908031951119592,-0.4471377399016166,-1.2762067207751708,0.6189744216356439,0.3576674558978802,1.1602228674272,-0.0477188058993146,-0.0716674231846432,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
382,0.0206822354859619,1,0,0,3,0,0,-0.1448547542676896,0.4812329213873661,-0.5187736347042132,-0.4686402744297206,-1.7083297379818874,0.6258765339040677,0.3646665507002905,0.9175473863230504,-0.046323268514231,-0.0696467570545,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
455,0.0206822354859619,1,0,0,7,0,0,-0.1587264077138814,0.4812329213873661,-0.4174009533756984,-0.4576781980036283,0.5471416201214624,0.8053314528830868,0.5466430155629576,1.090364114661774,-0.0959940193294261,-0.0319030150015567,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
459,0.0206822354859619,1,0,0,7,0,0,-0.1868610036141894,0.4812329213873661,-0.4174009533756984,-0.4576781980036283,0.7052354069044074,0.8122335651515107,0.5536421103653679,1.0344958196313132,-0.1038049628924855,-0.0242935618238695,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
509,0.0206822354859619,1,0,0,7,0,0,-0.2059168663910929,0.4812329213873661,-0.5187736347042132,0.6983992466250233,-1.0759545908501071,0.9019610246410202,0.6446303427967015,1.0810290071476771,-0.1478087831343514,0.0135222055712551,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
513,0.0206822354859619,1,0,0,7,0,0,-0.2622229075406686,0.4812329213873661,0.1123209990566391,-0.5116453434859287,-0.9600191472092806,0.908863136909444,0.6516294375991117,1.0618592273380254,-0.1464460493097184,0.0158698522206396,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
563,0.0206822354859619,1,0,0,0,0,0,-0.2173656166148171,0.4812329213873661,4.454450849294693,1.330405114421649,-0.5911336447157423,1.0261990454726488,0.7706140492400864,1.1486210818744649,-0.1710877605047967,0.0409251836565723,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,-1
575,0.0206822354859619,1,0,0,0,0,0,-0.1940594536783521,0.4812329213873661,-0.2911820266235279,1.4164152525340656,-0.1800897990800851,1.0469053822779204,0.7916113336473172,1.102018759632746,-0.1622294131172102,0.0393763561890262,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
750,0.0206822354859619,1,0,0,8,0,0,-0.107709383878285,0.4812329213873661,-0.1649630998713574,0.3990502365278888,0.1782561176279237,1.1504370663042776,0.8965977556834713,1.4732241390172622,-0.1971195418248835,0.0778445504505468,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
753,0.0206822354859619,1,0,0,8,0,0,-0.1533320020483414,0.4812329213873661,-0.3925547079520428,0.1954085859970212,0.2836519754832204,1.1573391785727014,0.9035968504858816,1.410957787581114,-0.2044277284720234,0.081499271344954,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
756,0.0206822354859619,1,0,0,8,0,0,-0.183308062549715,0.4812329213873661,-0.5187736347042132,0.1098200662086857,0.1150186029147457,1.164241290841125,0.9105959452882918,1.4399866408703648,-0.2049664460985777,0.0862915808417395,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
761,0.0206822354859619,1,0,0,8,0,0,-0.1754960605030338,0.4812329213873661,-0.3170221218641297,-0.5542287942180563,0.1255581887002753,1.171143403109549,0.917595040090702,1.1648090829227136,-0.1124774234375189,0.1406494376441729,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
769,0.0206822354859619,1,0,0,8,0,0,-0.2622229075406686,0.4812329213873661,-0.3170221218641297,-0.5542287942180563,0.0201623308449786,-1.341225462596719,0.9245941348931124,0.8837167815969795,-0.0385488246874476,0.1827993623034186,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
655,0.0206822354859619,1,0,0,8,0,0,-0.176103609939584,0.4812329213873661,-0.3925547079520428,-0.6722819249605881,0.2731123896976908,-1.3136170135230238,0.9525905141027536,1.1809320298490205,0.2677140711002588,0.3627778134436114,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
681,0.0206822354859619,1,0,0,8,0,0,-0.1881347156121293,0.4812329213873661,-0.5187736347042132,-0.7578704447489237,0.5366020343359326,-1.2791064521809048,0.9875859881148048,0.7584364450526309,0.5499143232388687,0.5873152835218066,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
731,0.0206822354859619,1,0,0,8,0,0,-0.2622229075406686,0.4812329213873661,-0.5187736347042132,-0.6402389323304724,1.1057396667545347,-1.2031832172282428,1.064576030941318,0.5347640160732323,0.2536759953153304,0.7834697625348024,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
736,0.0206822354859619,1,0,0,8,0,0,-0.2965089778819501,0.4812329213873661,-0.5187736347042132,-0.6402389323304724,0.3047311470542799,-1.196281104959819,1.071575125743728,0.4939910566187057,0.2206662190551743,0.7642425086190083,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
742,0.0206822354859619,1,0,0,8,0,0,-0.3026789259056329,0.4812329213873661,-0.5187736347042132,-0.6402389323304724,-0.2538668995787927,-1.1893789926913951,1.0785742205461384,0.4934426835808427,0.2237914897228892,0.7402199172352047,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
900,0.0206822354859619,1,0,0,6,0,0,-0.1452014972529862,0.4812329213873661,-0.5187736347042132,0.5592651996784677,0.5366020343359326,-1.1617705436177,1.1065705997557795,0.9559723265332442,0.1419091056148386,0.6725443162765663,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
907,0.0206822354859619,1,0,0,6,0,0,-0.2388575805332506,0.4812329213873661,-0.5187736347042132,0.5592651996784677,0.29419156126875,-1.154868431349276,1.1135696945581897,0.8615001689039836,0.1120385376854056,0.647527460261653,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
911,0.0206822354859619,1,0,0,6,0,0,-0.2473924974010733,0.4812329213873661,-0.5187736347042132,0.5592651996784677,0.4733645196227544,-1.1479663190808522,1.1205687893606,0.8079758125144417,0.0690828913046974,0.6226455710174305,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
915,0.0206822354859619,1,0,0,6,0,0,-0.2345953106375223,0.4812329213873661,-0.5187736347042132,0.5592651996784677,0.6946958211188776,-1.1410642068124284,1.1275678841630103,0.7823632427577922,0.0237832534213714,0.5947341763771304,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
920,0.0206822354859619,1,0,0,6,0,0,-0.2705332589903448,0.4812329213873661,-0.5187736347042132,-0.0512381335900542,0.7263145784754668,-1.1341620945440047,1.1345669789654207,0.6943541956561606,-0.0244777143310796,0.559773220624934,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
924,0.0206822354859619,1,0,0,6,0,0,-0.2340152634956235,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,1.1795167672532427,-1.1272599822755809,1.1415660737678308,0.6338183498128097,-0.0816995983502726,0.5203230754819481,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
781,0.0206822354859619,1,0,0,6,0,0,-0.2448522014021984,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,1.200595938824302,-1.120357870007157,1.1485651685702412,0.5471012288176801,-0.1696802875519437,0.4330737399535919,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
785,0.0206822354859619,1,0,0,6,0,0,-0.2604157698457529,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,1.190056353038772,-1.1134557577387332,-1.392106244704688,0.673843687371917,0.2271694094090039,0.5987629930230242,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
789,0.0206822354859619,1,0,0,6,0,0,-0.2823439696456036,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,0.7579333358320558,-1.106553645470309,-1.3851071499022778,0.6446603128781047,0.4416046669974118,0.6496145398939758,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
793,0.0206822354859619,1,0,0,6,0,0,-0.2622229075406686,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,0.3363499044108687,-1.0996515332018857,-1.3781080550998674,0.5870493057745076,0.635819609714569,0.7037502647274172,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
801,0.0206822354859619,1,0,0,6,0,0,-0.3205636908897604,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,0.7157749926899369,-1.0927494209334618,-1.371108960297457,0.5532756351817684,0.8452799686492937,0.8021038167013419,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
808,0.0206822354859619,1,0,0,6,0,0,-0.3084478190398979,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,1.074120909397946,-1.085847308665038,-1.364109865495047,0.4862116129122126,1.0404680836598177,0.930615679455566,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
813,0.0206822354859619,1,0,0,6,0,0,-0.1717760173278762,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,1.2638334535374798,-1.078945196396614,-1.3571107706926366,0.4157069000376941,1.2164638827005336,1.0835928229865417,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
818,0.0206822354859619,1,0,0,6,0,0,-0.2351930320829898,0.4812329213873661,-0.4432410486163002,-0.7793729792770278,1.0530417378268864,-1.0720430841281905,-1.3501116758902263,0.3329341150323983,1.3675971240406033,1.129809030388959,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,0,1,1,1,1
