Date,Year,Experiment,DataUse,Replication,Month,Vegetation,VegType,N2O,N_rate,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3,Clay,Sand,SOM,Outlier,IF_Outlier,DBSCAN_Outlier,OCSVM_Outlier,Voting_Outlier,Hard_Voting_Outlier,Soft_Vote_Outlier
2/9/12,0.020682235485961927,BCSE_KBS,Building,R1,February,Corn,Annual,-0.12540830872050326,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,-1.5186171938423534,0.5568554112198295,0.2946756026761878,0.7976374948340172,-0.03118835255311065,-0.08301690529935475,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,1,0,1,1,1,1
2/10/12,0.020682235485961927,BCSE_KBS,Building,R1,February,Corn,Annual,-0.18532436582009132,0.4812329213873661,-0.5187736347042132,-0.8114159719071435,-1.560775536984472,0.5637575234882534,0.30167469747859804,0.6451279453185691,-0.03413397367497785,-0.08225926652616265,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,1,0,1,1,1,1
2/18/12,0.020682235485961927,BCSE_KBS,Building,R1,February,Corn,Annual,-0.1378424193971729,0.4812329213873661,-0.19080319511195928,-0.4471377399016166,-1.2762067207751708,0.6189744216356439,0.35766745589788024,1.1602228674272,-0.047718805899314605,-0.07166742318464328,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,1,0,1,1,1,1
2/19/12,0.020682235485961927,BCSE_KBS,Building,R1,February,Corn,Annual,-0.1448547542676896,0.4812329213873661,-0.5187736347042132,-0.4686402744297206,-1.7083297379818874,0.6258765339040677,0.3646665507002905,0.9175473863230503,-0.04632326851423106,-0.06964675705450006,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,1,0,1,1,1,1
3/16/12,0.020682235485961927,BCSE_KBS,Building,R1,March,Corn,Annual,-0.15872640771388144,0.4812329213873661,-0.41740095337569844,-0.45767819800362836,0.5471416201214624,0.8053314528830868,0.5466430155629576,1.090364114661774,-0.09599401932942614,-0.0319030150015567,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,1,0,1,1,1,1
3/17/12,0.020682235485961927,BCSE_KBS,Building,R1,March,Corn,Annual,-0.18686100361418942,0.4812329213873661,-0.41740095337569844,-0.45767819800362836,0.7052354069044074,0.8122335651515107,0.5536421103653679,1.0344958196313132,-0.10380496289248556,-0.02429356182386957,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,1,0,1,1,1,1
3/30/12,0.020682235485961927,BCSE_KBS,Building,R1,March,Corn,Annual,-0.20591686639109297,0.4812329213873661,-0.5187736347042132,0.6983992466250233,-1.0759545908501071,0.9019610246410202,0.6446303427967015,1.0810290071476771,-0.1478087831343514,0.013522205571255136,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,1,0,1,1,1,1
3/31/12,0.020682235485961927,BCSE_KBS,Building,R1,March,Corn,Annual,-0.2622229075406686,0.4812329213873661,0.1123209990566391,-0.5116453434859287,-0.9600191472092806,0.908863136909444,0.6516294375991117,1.0618592273380254,-0.14644604930971847,0.01586985222063961,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,1,0,1,1,1,1
4/17/12,0.020682235485961927,BCSE_KBS,Building,R1,April,Corn,Annual,-0.2173656166148171,0.4812329213873661,4.454450849294693,1.330405114421649,-0.5911336447157423,1.0261990454726488,0.7706140492400864,1.1486210818744647,-0.1710877605047967,0.04092518365657234,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,1,0,1,1,1,1
4/20/12,0.020682235485961927,BCSE_KBS,Building,R1,April,Corn,Annual,-0.19405945367835212,0.4812329213873661,-0.2911820266235279,1.4164152525340656,-0.18008979908008516,1.0469053822779204,0.7916113336473172,1.102018759632746,-0.16222941311721026,0.03937635618902626,-0.904182482169967,0.7967675133141049,-0.6422421514891818,1,1,0,1,1,1,1
