Column,Method,Lower Bound,Upper Bound,Outlier Count
Year,IQR,-1.5000776154539321,1.8179438775058037,259
Year,Z-Score,-3.000668077059835,3.000668077059835,0
N2O,IQR,-0.49116251409163025,0.16656048778475374,251
N2O,Z-Score,-3.000668077059835,3.000668077059835,32
N_rate,IQR,-1.077983958930038,1.4167630495778087,283
N_rate,Z-Score,-3.000668077059835,3.000668077059835,0
PP2,IQR,-1.4132384699558154,0.9720010907151231,244
PP2,Z-Score,-3.000668077059835,3.000668077059835,47
PP7,IQR,-2.1437298760014323,1.8093635305770646,114
PP7,Z-Score,-3.000668077059835,3.000668077059835,38
AirT,IQR,-2.915639289714311,3.041334596267059,4
AirT,Z-Score,-3.000668077059835,3.000668077059835,3
DAF_TD,IQR,-3.2807190100238106,3.2210707468314212,17
DAF_TD,Z-Score,-3.000668077059835,3.000668077059835,24
DAF_SD,IQR,-3.4393414744096926,3.419771431952375,0
DAF_SD,Z-Score,-3.000668077059835,3.000668077059835,28
WFPS25cm,IQR,-3.3668747860403356,3.3998945570460424,0
WFPS25cm,Z-Score,-3.000668077059835,3.000668077059835,0
NH4,IQR,-1.1907262876242701,0.7479441910552906,215
NH4,Z-Score,-3.000668077059835,3.000668077059835,24
NO3,IQR,-1.5906059028509296,1.0849090265648045,200
NO3,Z-Score,-3.000668077059835,3.000668077059835,66
Clay,IQR,-3.181133199928526,2.8907353807609644,0
Clay,Z-Score,-3.000668077059835,3.000668077059835,0
Sand,IQR,-1.6948411847590354,2.291732732157989,385
Sand,Z-Score,-3.0006680770598346,3.0006680770598346,0
SOM,IQR,-1.5019054071822093,0.7905299413325294,482
SOM,Z-Score,-3.000668077059835,3.000668077059835,0
Outlier,IQR,0.0,0.0,37
Outlier,Z-Score,-0.39842409315007754,0.3654766309951354,37
