Test Size,Method,MAE,MSE,RMSE,R2
0.2,No Cross Validation (Random Search),1.6506703409282801,6.0914174655759945,2.468079712160042,0.6632384444420647
0.2,Sklearn cross_val_score (Random Search),2.604339392949277,12.022631559292996,3.4323570897640314,0.2956947922051777
0.2,xgb.cv (Random Search),1.6756658978479693,5.880531406908679,2.4249807023786145,0.6634657600554701
0.25,No Cross Validation (Random Search),1.7421576934015408,6.159490850359693,2.48183215596053,0.6480810672887127
0.25,Sklearn cross_val_score (Random Search),2.615610901513228,12.082381755953968,3.4438801576482208,0.2886526308527627
0.25,xgb.cv (Random Search),1.7324410867201316,6.160994117625994,2.482134991821757,0.6474152879717487
0.3,No Cross Validation (Random Search),1.6994478571870415,6.260886784343246,2.502176409516972,0.6255983903982902
0.3,Sklearn cross_val_score (Random Search),2.5563998200929103,11.92933813714297,3.41939174530649,0.3001643686088709
0.3,xgb.cv (Random Search),1.6973738345685205,6.004953709869282,2.4505007059515984,0.6563452530363593
0.35,No Cross Validation (Random Search),1.7273284112087397,6.511511136140198,2.551766277726116,0.5978106080105448
0.35,Sklearn cross_val_score (Random Search),2.5563998200929103,11.92933813714297,3.41939174530649,0.3001643686088709
0.35,xgb.cv (Random Search),1.6973738345685205,6.004953709869282,2.4505007059515984,0.6563452530363593
