Date,Year,Experiment,DataUse,Replication,Month,Vegetation,VegType,N2O,N_rate,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3,Clay,Sand,SOM,outlier_naive_bayes
,2012.0,,,,,,,,170.0,0.0,0.0,-2.0,276.0,241.0,0.666508316,11.04634,22.940812,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,-2.4,277.0,242.0,0.640607951,11.008087,22.959578,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,3.3,8.64,0.3,285.0,250.0,0.728085401,10.831669,23.221928,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,8.13,-3.8,286.0,251.0,0.686872352,10.849792,23.271978,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.02,8.39,17.6,312.0,277.0,0.716221441,10.204748,24.206855,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.02,8.39,19.1,313.0,278.0,0.70673345,10.103312,24.395334,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,35.81,2.2,326.0,291.0,0.71463608,9.531861,25.331995,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,6.35,7.11,3.3,327.0,292.0,0.711380518,9.549558,25.390144,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,50.8,6.8,344.0,309.0,0.726115095,9.229551,26.010741,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,2.29,52.84,10.7,347.0,312.0,0.718200724,9.344589,25.972378,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,3.56,28.71,14.1,362.0,327.0,0.781241726,8.891492,26.925199,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.27,23.88,15.1,363.0,328.0,0.770667167,8.796585,27.015723,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,21.85,13.5,364.0,329.0,0.775597074,8.789589,27.134424,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,2.03,6.1,13.6,365.0,330.0,0.728864268,9.990688,28.480817,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,2.03,6.1,12.6,1.0,331.0,0.681126974,10.950754,29.524831,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.27,3.3,15.0,5.0,335.0,0.731602393,14.928005,33.982728,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,1.27,17.5,10.0,340.0,0.659850887,18.592769,39.54431,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,4.06,22.9,21.0,351.0,0.621865085,14.745701,44.402872,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,4.06,15.3,22.0,352.0,0.614940702,14.317023,43.926631,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,4.06,10.0,23.0,353.0,0.614847573,14.357609,43.331614,62.5,637.5,1.174072,
