Test Size,Method,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2,Group,MethodGroup
0.2,No Cross Validation (Random Search),2024-06-10 22:28:57,2024-06-10 22:29:18,20.96090149879456,2.1072510363746177,12.30528772339122,3.507889354496692,0.6137785868093792,CV_RandomSearch_IDO,randomsearch
0.2,No Cross Validation (Random Search),2024-06-11 00:07:22,2024-06-11 00:07:41,18.54578757286072,2.132652581811282,11.863641870273804,3.4443637830917053,0.5365677576516754,CV_RandomSearch_id,randomsearch
0.2,No Cross Validation (Random Search),2024-06-10 23:49:09,2024-06-10 23:49:22,13.573731184005736,2.132652581811282,11.863641870273804,3.4443637830917053,0.5365677576516754,CV_RandomSearch_if_by,randomsearch
0.25,No Cross Validation (Random Search),2024-06-10 22:50:11,2024-06-10 22:50:27,16.194668531417847,2.2596973080388505,12.986074915357383,3.603619696271706,0.7948866170848519,CV_RandomSearch_if_by_lof,randomsearch
0.2,No Cross Validation (Random Search),2024-06-10 23:56:25,2024-06-10 23:56:52,26.704711437225345,2.1784992417348485,10.50371062560196,3.240942860588869,0.5046319098281731,CV_RandomSearch_if_lof,randomsearch
0.25,No Cross Validation (Random Search),2024-06-10 23:56:54,2024-06-10 23:57:19,25.546977281570435,2.152572575846975,10.70523125421762,3.2718849695882675,0.4471519481814697,CV_RandomSearch_if_lof,randomsearch
0.3,xgb.cv (Random Search),2024-06-10 22:29:43,2024-06-10 22:30:03,20.36232662200928,2.207440586567756,12.458306027547234,3.529632562682302,0.6274629022179827,CV_RandomSearch_IDO,randomsearch
0.2,No Cross Validation (Random Search),2024-06-10 22:49:52,2024-06-10 22:50:09,17.560330390930176,2.262814267113332,13.040409316839051,3.611150691516355,0.799245686922101,CV_RandomSearch_if_by_lof,randomsearch
0.2,xgb.cv (Grid Search),2024-06-10 22:22:14,2024-06-10 22:22:54,40.51091170310974,2.248335763304868,12.846760047244924,3.584237721921486,0.6158470747692147,CV_GridSearch_IDO,gridsearch
0.2,No Cross Validation (Grid Search),2024-06-11 00:02:44,2024-06-11 00:03:52,67.54999327659607,2.141527878201705,11.667300323830604,3.415743011971276,0.5442374938194792,CV_GridSearch_id,gridsearch
0.2,No Cross Validation (Grid Search),2024-06-10 23:44:37,2024-06-10 23:45:32,55.23792910575867,2.141527878201705,11.667300323830604,3.415743011971276,0.5442374938194792,CV_GridSearch_if_by,gridsearch
0.2,No Cross Validation (Grid Search),2024-06-10 22:42:07,2024-06-10 22:43:22,75.05626630783081,2.2991842026515106,13.222708615239268,3.636304252292328,0.7964392282032278,CV_GridSearch_if_by_lof,gridsearch
0.2,No Cross Validation (Grid Search),2024-06-10 23:52:27,2024-06-10 23:53:15,47.913392066955566,2.158424697536709,10.53853974705399,3.246311714400512,0.5029893250320916,CV_GridSearch_if_lof,gridsearch
0.2,No Cross Validation (Grid Search),2024-06-10 22:22:14,2024-06-10 22:22:54,40.51091170310974,2.192995131673924,13.139076802644269,3.624786449246944,0.5876087642314094,CV_GridSearch_IDO,gridsearch
0.25,No Cross Validation (Grid Search),2024-06-10 22:43:27,2024-06-10 22:44:34,67.73710060119629,2.228306062240427,13.25587878796865,3.6408623687209936,0.7906250996212911,CV_GridSearch_if_by_lof,gridsearch
0.25,No Cross Validation (Grid Search),2024-06-10 23:53:17,2024-06-10 23:54:13,56.68132734298706,2.100096670887373,10.623500641282815,3.259371203358528,0.4513727453844389,CV_GridSearch_if_lof,gridsearch
