Column,Method,Lower Bound,Upper Bound,Outlier Count
Year,IQR,-1.5000776154539166,1.8179438775058183,259
N2O,IQR,-0.49116251409163025,0.16656048778475377,251
N_rate,IQR,-1.0779839589300377,1.4167630495778085,283
PP2,IQR,-1.413238469955815,0.9720010907151231,244
PP7,IQR,-2.143729876001432,1.8093635305770643,114
AirT,IQR,-2.915639289714311,3.041334596267059,4
DAF_TD,IQR,-3.2807190100238106,3.2210707468314217,17
DAF_SD,IQR,-3.439341474409693,3.4197714319523747,0
WFPS25cm,IQR,-3.366874786040335,3.399894557046042,0
NH4,IQR,-1.1907262876242701,0.7479441910552906,215
NO3,IQR,-1.5906059028509298,1.0849090265648047,200
Clay,IQR,-3.181133199928526,2.890735380760965,0
Sand,IQR,-1.694841184759036,2.2917327321579894,385
SOM,IQR,-1.5019054071822089,0.7905299413325299,482
IF_Outlier,IQR,1.0,1.0,45
